Name,Cases,Location
Massachusetts Correctional Institution-Concord,369,"Concord, Mass."
Monterey County Jail,368,"Salinas, Calif."
Tygart Valley Regional Jail and Correctional Facility,368,"Belington, W.Va."
Rogelio Sanchez State Jail,367,"El Paso, Texas"
East Texas Multi-Use Facility prison,366,"Henderson, Texas"
Telford Unit prison,366,"New Boston, Texas"
Hampden County jail,366,"Ludlow, Mass."
Bridgeport Correctional Center,365,"Bridgeport, Conn."
Oklahoma County Jail,365,"Oklahoma City, Okla."
Barbara Ester Unit prison,364,"Pine Bluff, Ark."
Lincoln Correctional Center,364,"Lincoln, Ill."
Columbia Correctional Institution,364,"Portage, Wis."
Greenville County Detention Center,363,"Greenville, S.C."
Penitentiary of New Mexico,361,"Santa Fe, N.M."
Butte County Jail,361,"Oroville, Calif."
Talladega federal prison,361,"Talladega, Ala."
Georgia Diagnostic and Classification prison,360,"Jackson, Ga."
Montgomery County jail,360,"Conroe, Texas"
